weight_id,w_gmic,w_nyu,w_glam,threshold_id,threshold_quantile,threshold,threshold_source,ground_truth_used_for_threshold_derivation,tn,fp,fn,tp,sensitivity,sensitivity_unavailable_reason,specificity,specificity_unavailable_reason,precision_ppv,precision_ppv_unavailable_reason,npv,npv_unavailable_reason,fpr,accuracy,balanced_accuracy,f1,f1_unavailable_reason,roc_auc,roc_auc_unavailable_reason,average_precision,auprc,auprc_method,auprc_unavailable_reason,diagnostic_only,eligible_for_freeze
W07,0.25,0.25,0.5,T03,0.5,0.0532375,analysis_score_quantile,False,1761,1665,24,120,0.8333333333333334,,0.5140105078809106,,0.06722689075630252,,0.9865546218487395,,0.4859894921190893,0.526890756302521,0.673671920607122,0.12441679626749612,,0.7163216741259648,,0.14992051632348455,0.14992051632348455,average_precision_score,,True,False
W07,0.25,0.25,0.5,T04,0.7,0.13148499999999988,analysis_score_quantile,False,2443,983,56,88,0.6111111111111112,,0.7130764740221833,,0.08216619981325864,,0.9775910364145658,,0.2869235259778167,0.7089635854341737,0.6620937925666472,0.1448559670781893,,0.7163216741259648,,0.14992051632348455,0.14992051632348455,average_precision_score,,True,False
W07,0.25,0.25,0.5,T05,0.9,0.28363,analysis_score_quantile,False,3112,314,101,43,0.2986111111111111,,0.9083479276123759,,0.12044817927170869,,0.9685652038593215,,0.09165207238762405,0.8837535014005602,0.6034795193617435,0.17165668662674652,,0.7163216741259648,,0.14992051632348455,0.14992051632348455,average_precision_score,,True,False
W08,0.5,0.3,0.2,T01,0.1,0.01619,analysis_score_quantile,False,347,3079,9,135,0.9375,,0.10128429655575015,,0.04200373366521468,,0.9747191011235955,,0.8987157034442499,0.1350140056022409,0.519392148277875,0.08040500297796307,,0.7114700898358954,,0.1175549844885665,0.1175549844885665,average_precision_score,,True,False
W08,0.5,0.3,0.2,T02,0.3,0.034974,analysis_score_quantile,False,1056,2370,15,129,0.8958333333333334,,0.30823117338003503,,0.05162064825930372,,0.9859943977591037,,0.691768826619965,0.3319327731092437,0.6020322533566842,0.09761634506242906,,0.7114700898358954,,0.1175549844885665,0.1175549844885665,average_precision_score,,True,False
W08,0.5,0.3,0.2,T03,0.5,0.066185,analysis_score_quantile,False,1760,1666,25,119,0.8263888888888888,,0.5137186223000584,,0.06666666666666667,,0.9859943977591037,,0.4862813776999416,0.5263305322128852,0.6700537555944737,0.12337998963193364,,0.7114700898358954,,0.1175549844885665,0.1175549844885665,average_precision_score,,True,False
W08,0.5,0.3,0.2,T04,0.7,0.156546,analysis_score_quantile,False,2444,982,55,89,0.6180555555555556,,0.7133683596030356,,0.08309990662931839,,0.9779911964785915,,0.28663164039696437,0.7095238095238096,0.6657119575792956,0.14650205761316873,,0.7114700898358954,,0.1175549844885665,0.1175549844885665,average_precision_score,,True,False
W08,0.5,0.3,0.2,T05,0.9,0.5,analysis_score_quantile,False,2875,551,102,42,0.2916666666666667,,0.8391710449503794,,0.07082630691399663,,0.9657373194491098,,0.16082895504962055,0.8170868347338935,0.565418855808523,0.11397557666214382,,0.7114700898358954,,0.1175549844885665,0.1175549844885665,average_precision_score,,True,False
W09,0.5,0.2,0.3,T01,0.1,0.014219,analysis_score_quantile,False,349,3077,8,136,0.9444444444444444,,0.10186806771745475,,0.042328042328042326,,0.9775910364145658,,0.8981319322825453,0.13585434173669467,0.5231562560809496,0.08102472445635985,,0.7106187568917428,,0.12978362088958217,0.12978362088958217,average_precision_score,,True,False
W09,0.5,0.2,0.3,T02,0.3,0.032731,analysis_score_quantile,False,1055,2371,16,128,0.8888888888888888,,0.3079392877991827,,0.051220488195278115,,0.9850606909430439,,0.6920607122008173,0.33137254901960783,0.5984140883440358,0.09685962920923194,,0.7106187568917428,,0.12978362088958217,0.12978362088958217,average_precision_score,,True,False
