fold,weight_id,threshold_id,threshold_quantile,threshold,threshold_source,ground_truth_used_for_threshold_derivation,w_gmic,w_nyu,w_glam,training_studies,validation_studies,training_malignant,validation_malignant,tn,fp,fn,tp,sensitivity,sensitivity_unavailable_reason,specificity,specificity_unavailable_reason,precision_ppv,precision_ppv_unavailable_reason,npv,npv_unavailable_reason,fpr,accuracy,balanced_accuracy,f1,f1_unavailable_reason,roc_auc,roc_auc_unavailable_reason,average_precision,auprc,auprc_method,auprc_unavailable_reason
1,W36,T16,0.98,0.65,cv_training_fold_score_quantile,False,0.6,0.1,0.3,2856,714,116,28,640,46,24,4,0.14285714285714285,,0.9329446064139941,,0.08,,0.963855421686747,,0.06705539358600583,0.9019607843137255,0.5379008746355685,0.10256410256410256,,0.7377655143690128,,0.18424058325448464,0.18424058325448464,average_precision_score,
1,W36,T17,0.99,0.65267,cv_training_fold_score_quantile,False,0.6,0.1,0.3,2856,714,116,28,681,5,24,4,0.14285714285714285,,0.9927113702623906,,0.4444444444444444,,0.9659574468085106,,0.007288629737609329,0.9593837535014006,0.5677842565597667,0.21621621621621623,,0.7377655143690128,,0.18424058325448464,0.18424058325448464,average_precision_score,
1,W37,T01,0.1,0.016775,cv_training_fold_score_quantile,False,0.6,0.3,0.1,2856,714,116,28,69,617,0,28,1.0,,0.10058309037900874,,0.043410852713178294,,1.0,,0.8994169096209913,0.13585434173669467,0.5502915451895044,0.08320950965824665,,0.7377655143690129,,0.11669907464886863,0.11669907464886863,average_precision_score,
1,W37,T02,0.2,0.025079999999999998,cv_training_fold_score_quantile,False,0.6,0.3,0.1,2856,714,116,28,124,562,1,27,0.9642857142857143,,0.18075801749271136,,0.04584040747028863,,0.992,,0.8192419825072886,0.211484593837535,0.5725218658892128,0.08752025931928688,,0.7377655143690129,,0.11669907464886863,0.11669907464886863,average_precision_score,
1,W37,T03,0.3,0.03586,cv_training_fold_score_quantile,False,0.6,0.3,0.1,2856,714,116,28,187,499,1,27,0.9642857142857143,,0.2725947521865889,,0.051330798479087454,,0.9946808510638298,,0.7274052478134111,0.29971988795518206,0.6184402332361516,0.09747292418772563,,0.7377655143690129,,0.11669907464886863,0.11669907464886863,average_precision_score,
1,W37,T04,0.4,0.04925,cv_training_fold_score_quantile,False,0.6,0.3,0.1,2856,714,116,28,278,408,2,26,0.9285714285714286,,0.40524781341107874,,0.059907834101382486,,0.9928571428571429,,0.5947521865889213,0.4257703081232493,0.6669096209912537,0.11255411255411256,,0.7377655143690129,,0.11669907464886863,0.11669907464886863,average_precision_score,
1,W37,T05,0.5,0.069685,cv_training_fold_score_quantile,False,0.6,0.3,0.1,2856,714,116,28,341,345,3,25,0.8928571428571429,,0.4970845481049563,,0.06756756756756757,,0.9912790697674418,,0.5029154518950437,0.5126050420168067,0.6949708454810496,0.12562814070351758,,0.7377655143690129,,0.11669907464886863,0.11669907464886863,average_precision_score,
1,W37,T06,0.6,0.10127000000000001,cv_training_fold_score_quantile,False,0.6,0.3,0.1,2856,714,116,28,412,274,6,22,0.7857142857142857,,0.6005830903790087,,0.07432432432432433,,0.9856459330143541,,0.39941690962099125,0.6078431372549019,0.6931486880466472,0.13580246913580246,,0.7377655143690129,,0.11669907464886863,0.11669907464886863,average_precision_score,
1,W37,T07,0.7,0.16535499999999986,cv_training_fold_score_quantile,False,0.6,0.3,0.1,2856,714,116,28,485,201,10,18,0.6428571428571429,,0.706997084548105,,0.0821917808219178,,0.9797979797979798,,0.29300291545189505,0.7044817927170869,0.6749271137026239,0.145748987854251,,0.7377655143690129,,0.11669907464886863,0.11669907464886863,average_precision_score,
1,W37,T08,0.8,0.33049,cv_training_fold_score_quantile,False,0.6,0.3,0.1,2856,714,116,28,547,139,14,14,0.5,,0.7973760932944607,,0.0915032679738562,,0.9750445632798574,,0.20262390670553937,0.7857142857142857,0.6486880466472303,0.15469613259668508,,0.7377655143690129,,0.11669907464886863,0.11669907464886863,average_precision_score,
